file,fpeak,q,m1,m2
sly-mttot2times1.1500_q0.7000_id2poles.dat,2765.2574983588065,0.7,0.9470588235294116,1.352941176470588
sly-mttot2times1.1500_q0.8000_id2poles.dat,2934.089375676348,0.8,1.0222222222222221,1.2777777777777777
sly-mttot2times1.1500_q0.8500_id2poles.dat,2915.3428595009295,0.85,1.0567567567567566,1.243243243243243
sly-mttot2times1.1500_q0.9000_id2poles.dat,3030.431385351552,0.9,1.0894736842105261,1.2105263157894737
sly-mttot2times1.1500_q0.9500_id2poles.dat,2944.839133254451,0.95,1.1205128205128205,1.1794871794871795
sly-mttot2times1.1500_q1.0000_id2poles.dat,3002.871469956496,1.0,1.15,1.15
sly-mttot2times1.2000_q0.7000_id2poles.dat,2847.85905265103,0.7,0.9882352941176469,1.411764705882353
sly-mttot2times1.2000_q0.8500_id2poles.dat,2935.266289532228,0.85,1.1027027027027025,1.2972972972972971
sly-mttot2times1.2000_q0.9000_id2poles.dat,3051.2729703968294,0.9,1.1368421052631579,1.263157894736842
sly-mttot2times1.2000_q0.9500_id2poles.dat,3074.516716199381,0.95,1.1692307692307693,1.2307692307692308
sly-mttot2times1.2000_q1.0000_id2poles.dat,3069.2937199941675,1.0,1.2,1.2
sly-mttot2times1.2300_q0.7000_id2poles.dat,2960.6760673495373,0.7,1.012941176470588,1.4470588235294117
sly-mttot2times1.2300_q0.8000_id2poles.dat,3115.9946034418354,0.8,1.0933333333333333,1.3666666666666667
sly-mttot2times1.2300_q0.8500_id2poles.dat,3011.680363444942,0.85,1.13027027027027,1.3297297297297297
sly-mttot2times1.2300_q0.9000_id2poles.dat,3148.022819759568,0.9,1.1652631578947368,1.2947368421052632
sly-mttot2times1.2300_q0.9500_id2poles.dat,3170.3294654626484,0.95,1.1984615384615387,1.2615384615384615
sly-mttot2times1.2300_q1.0000_id2poles.dat,3182.6971379812876,1.0,1.23,1.23
sly-mttot2times1.2500_q0.7000_id2poles.dat,3000.407743272106,0.7,1.0294117647058822,1.4705882352941178
sly-mttot2times1.2500_q0.8000_id2poles.dat,3166.807373282981,0.8,1.1111111111111112,1.3888888888888888
sly-mttot2times1.2500_q0.8500_id2poles.dat,3056.204006072388,0.85,1.1486486486486485,1.3513513513513513
sly-mttot2times1.2500_q0.9000_id2poles.dat,3193.251103492831,0.9,1.1842105263157894,1.3157894736842106
sly-mttot2times1.2500_q0.9500_id2poles.dat,3199.7807129742855,0.95,1.217948717948718,1.2820512820512822
sly-mttot2times1.2500_q1.0000_id2poles.dat,3236.5790059148876,1.0,1.25,1.25
sly-mttot2times1.2700_q0.7000_id2poles.dat,3053.6277397617596,0.7,1.0458823529411765,1.4941176470588236
sly-mttot2times1.2700_q0.8000_id2poles.dat,3034.2918074984964,0.8,1.1288888888888888,1.4111111111111112
sly-mttot2times1.2700_q0.8500_id2poles.dat,3105.8906840363675,0.85,1.1670270270270269,1.372972972972973
sly-mttot2times1.2700_q0.9000_id2poles.dat,3207.5119516035893,0.9,1.2031578947368422,1.336842105263158
sly-mttot2times1.2700_q0.9500_id2poles.dat,3227.498313243983,0.95,1.2374358974358977,1.3025641025641026
sly-mttot2times1.2700_q1.0000_id2poles.dat,3240.3497730067916,1.0,1.27,1.27
sly-mttot2times1.3000_q0.7000_id2poles.dat,3110.598191172158,0.7,1.0705882352941176,1.5294117647058825
sly-mttot2times1.3000_q0.8000_id2poles.dat,3156.288589385674,0.8,1.1555555555555557,1.4444444444444444
sly-mttot2times1.3000_q0.8500_id2poles.dat,3175.1199026880927,0.85,1.1945945945945944,1.4054054054054055
sly-mttot2times1.3000_q0.9000_id2poles.dat,3236.154191343813,0.9,1.231578947368421,1.368421052631579
sly-mttot2times1.3000_q0.9500_id2poles.dat,3287.799029174783,0.95,1.2666666666666668,1.3333333333333335
sly-mttot2times1.3000_q1.0000_id2poles.dat,3311.627246806299,1.0,1.3,1.3
sly-mttot2times1.3500_q0.7000_id2poles.dat,3278.672399971993,0.7,1.111764705882353,1.5882352941176472
sly-mttot2times1.3500_q0.8000_id2poles.dat,3278.672399971993,0.8,1.2000000000000002,1.5
sly-mttot2times1.3500_q0.8500_id2poles.dat,3318.435170309695,0.85,1.2405405405405405,1.4594594594594594
sly-mttot2times1.3500_q0.9000_id2poles.dat,3401.8093686906236,0.9,1.2789473684210526,1.4210526315789476
sly-mttot2times1.3500_q0.9500_id2poles.dat,3382.9379158161237,0.95,1.3153846153846156,1.3846153846153848
sly-mttot2times1.3500_q1.0000_id2poles.dat,3414.777111851625,1.0,1.35,1.35
