simulation_id,distance,mass1,mass2,mchirp,q,inclination,ifos,snr,waveform,mstr,q_waveform
12,522.91544,1.5309626,1.34936,1.250740525080691,0.8813801199323876,1.039474,H1-K1-L1-V1,8.24765196246439,sfhx_mtot2times1.4400_q0.9000_id2poles.dat,136152,0.90
55,636.1651,1.4139571000000002,1.5434741,1.285814791835844,0.9160873512551976,1.8345198,H1-K1-L1-V1,8.273346546152931,sfhx_mtot2times1.4400_q0.9000_id2poles.dat,136152,0.90
111,194.44873,1.2319103999999998,1.3930288,1.1399864267479884,0.8843395054000318,1.7971532,H1-K1-V1,13.64901159845196,sfhx_mtot2times1.3200_q0.9000_id2poles.dat,125139,0.90
133,576.89082,1.5437028,1.4292993,1.2929242482738634,0.925890203736108,0.80138823,H1-K1-L1-V1,12.921728617095859,sfhx_mtot2times1.4400_q0.9000_id2poles.dat,136152,0.90
139,553.4722,1.4897645,1.464541,1.2858799144985171,0.983068800471484,0.79754999,H1-L1-V1,12.02445788025805,sfhx_m1-1.4400_m2-1.4400_id2poles.dat,144144,1.00
146,313.18568,1.3274708999999998,1.3499356000000002,1.16535964081458,0.9833586876292466,2.1398185,H1-K1-V1,12.06022329696581,sfhx_m1-1.3400_m2-1.3400_id2poles.dat,134134,1.00
168,606.22686,1.4213696000000002,1.5135695,1.276749849514074,0.9390844622595792,2.2861707,L1-V1,8.333706010493868,sfhx_mtot2times1.4400_q0.9500_id2poles.dat,140148,0.95
175,298.92318,1.4428212,1.4365631,1.2533212599258925,0.9956625949216716,1.6323386999999998,H1-K1-L1-V1,8.384987344331174,sfhx_m1-1.4400_m2-1.4400_id2poles.dat,144144,1.00
179,475.07098,1.3695754,1.4373387,1.2213530323569493,0.9528550229670988,2.5033937,H1-K1-L1-V1,13.83332393114367,sfhx_mtot2times1.4000_q0.9500_id2poles.dat,136144,0.95
219,618.4019400000002,1.469865,1.3915177,1.2449288194984818,0.9466976218904456,2.3842950000000003,H1-K1-L1-V1,8.02661664929502,sfhx_mtot2times1.4400_q0.9500_id2poles.dat,140148,0.95
